"Refs","Value","Footprint","Qty","Manufacturer","MPN","Datasheet","DNP"
"D1,D2","LTST-C170KRKT","LED_SMD:LED_0805_2012Metric","2","","","~",""
"J1,J2,J5","1759091","Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_10-G-5,08_1x10_P5.08mm_Horizontal","3","","","~",""
"J3,J4","MC-254-12-00-RA-DIP","Connector_IDC:IDC-Header_2x06_P2.54mm_Horizontal","2","","","~",""
"J6-J8","HRFE-10005V","","3","","","https://docs.rs-online.com/b960/A700000009164681.pdf",""
"J9,J10","T812112A101CEU","","2","","","https://docs.rs-online.com/690d/0900766b81359cbc.pdf",""
"J11-J14","971150321","","4","","","~",""
"K1-K6","AGQ210A12Z","muxlib_footprints:Relay_2P2T_10x6mm_TE_IMxxG_Longlegs","6","","","https://media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electric%20Works%20PDFs/AGQ_(GQ)_Relays.pdf",""
"R1,R2","1K1","Resistor_SMD:R_0805_2012Metric","2","","","~",""
